Model,DIC
Phi.p.,6074.60507621991
Phi.pj,6284.46914952622
Phi.ps,7607.34204416455
Phi.pt,8234.19841404367
Phi.ptsj,8286.06960590581
Phi.ptj,8412.05747625439
Phi.pts,8499.99822256722
Phi_tsj_p.,8005.7064756756
Phi_ts_p.,8398.86667580326
Phi_t_p.,9629.96739009399
Phi_tj_p.,10098.3901722129
